"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",122,29.85074627,14.92537313,,44.7761194,,,,14.92537313,,29.85074627,14.92537313,14.92537313,,14.92537313,29.85074627,14.92537313,14.92537313,14.92537313,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",123,,,58.82352941,,,,,,,,,,,,,58.82352941,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",124,,,9.433962264,,,,,9.433962264,,,,9.433962264,,9.433962264,,9.433962264,18.86792453,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",125,25,,25,,,25,,,,,25,25,,,50,50,50,,,25
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",127,,39.21568627,19.60784314,19.60784314,19.60784314,39.21568627,,,,,,,,,19.60784314,19.60784314,,,19.60784314,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",128.01,,,,,,13.15789474,,,,,,,,,13.15789474,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",129.01,36.58536585,12.19512195,24.3902439,97.56097561,24.3902439,24.3902439,24.3902439,12.19512195,,24.3902439,48.7804878,,36.58536585,12.19512195,36.58536585,36.58536585,36.58536585,36.58536585,48.7804878,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",129.02,14.70588235,,29.41176471,,29.41176471,29.41176471,,,,14.70588235,,14.70588235,14.70588235,14.70588235,44.11764706,44.11764706,88.23529412,,29.41176471,14.70588235
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",130,12.82051282,,,25.64102564,,12.82051282,,,,,,,,12.82051282,,89.74358974,76.92307692,12.82051282,38.46153846,25.64102564
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",131,12.5,12.5,25,50,,62.5,50,12.5,25,12.5,12.5,,50,12.5,37.5,12.5,,50,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",132,11.11111111,,,11.11111111,11.11111111,,,11.11111111,11.11111111,,11.11111111,,,,,11.11111111,22.22222222,11.11111111,11.11111111,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",133,12.19512195,12.19512195,12.19512195,12.19512195,12.19512195,12.19512195,12.19512195,12.19512195,,,12.19512195,,12.19512195,,24.3902439,36.58536585,36.58536585,12.19512195,24.3902439,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",134,,32.96703297,10.98901099,10.98901099,,,,,,21.97802198,10.98901099,10.98901099,10.98901099,,10.98901099,43.95604396,10.98901099,21.97802198,21.97802198,21.97802198
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",135,,,14.08450704,42.25352113,,28.16901408,56.33802817,28.16901408,28.16901408,,42.25352113,,,28.16901408,,,14.08450704,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",136,16.2601626,,,,16.2601626,24.3902439,,8.130081301,16.2601626,8.130081301,8.130081301,8.130081301,8.130081301,8.130081301,,16.2601626,8.130081301,16.2601626,16.2601626,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",137,25.97402597,,12.98701299,38.96103896,12.98701299,12.98701299,12.98701299,,,,,12.98701299,,,25.97402597,,,25.97402597,25.97402597,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",138,14.70588235,,,,,,,,,,29.41176471,14.70588235,14.70588235,,14.70588235,,14.70588235,,,14.70588235
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",139,24.69135802,24.69135802,24.69135802,12.34567901,12.34567901,37.03703704,24.69135802,24.69135802,37.03703704,61.72839506,12.34567901,24.69135802,12.34567901,37.03703704,12.34567901,37.03703704,49.38271605,24.69135802,12.34567901,12.34567901
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",140,,,,,12.19512195,,,12.19512195,36.58536585,,,24.3902439,12.19512195,12.19512195,12.19512195,,24.3902439,24.3902439,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",141,13.69863014,27.39726027,27.39726027,27.39726027,68.49315068,13.69863014,13.69863014,13.69863014,13.69863014,27.39726027,41.09589041,,13.69863014,13.69863014,27.39726027,27.39726027,27.39726027,41.09589041,27.39726027,41.09589041
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",142,11.76470588,,,,11.76470588,11.76470588,11.76470588,11.76470588,,,11.76470588,,11.76470588,11.76470588,11.76470588,35.29411765,11.76470588,11.76470588,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",143,61.72839506,49.38271605,37.03703704,49.38271605,49.38271605,37.03703704,49.38271605,37.03703704,37.03703704,12.34567901,24.69135802,24.69135802,24.69135802,61.72839506,37.03703704,111.1111111,12.34567901,86.41975309,61.72839506,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",144,,25.97402597,25.97402597,12.98701299,,38.96103896,12.98701299,,25.97402597,25.97402597,,25.97402597,25.97402597,25.97402597,12.98701299,12.98701299,25.97402597,51.94805195,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",145,,50.63291139,37.97468354,63.29113924,88.60759494,63.29113924,63.29113924,63.29113924,50.63291139,63.29113924,63.29113924,25.3164557,25.3164557,25.3164557,75.94936709,,75.94936709,37.97468354,,25.3164557
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",146,,13.33333333,,,26.66666667,26.66666667,53.33333333,13.33333333,13.33333333,26.66666667,,,40,13.33333333,13.33333333,,26.66666667,26.66666667,13.33333333,13.33333333
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",147,11.36363636,11.36363636,34.09090909,34.09090909,68.18181818,22.72727273,68.18181818,22.72727273,,45.45454545,11.36363636,34.09090909,11.36363636,11.36363636,11.36363636,,79.54545455,34.09090909,22.72727273,11.36363636
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",148,13.51351351,27.02702703,13.51351351,,27.02702703,13.51351351,,,13.51351351,,13.51351351,,27.02702703,27.02702703,,13.51351351,27.02702703,,67.56756757,13.51351351
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",149,63.82978723,42.55319149,74.46808511,95.74468085,10.63829787,63.82978723,42.55319149,63.82978723,10.63829787,42.55319149,21.27659574,31.91489362,31.91489362,31.91489362,42.55319149,21.27659574,42.55319149,21.27659574,10.63829787,10.63829787
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",150,,25,,,12.5,12.5,37.5,25,,,12.5,,12.5,,37.5,12.5,12.5,25,50,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",151,23.25581395,11.62790698,34.88372093,11.62790698,,11.62790698,23.25581395,,,11.62790698,11.62790698,,,,11.62790698,23.25581395,23.25581395,,11.62790698,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",153,,12.65822785,,12.65822785,12.65822785,,12.65822785,,,,,12.65822785,12.65822785,25.3164557,,,,25.3164557,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",155,,12.82051282,12.82051282,,,25.64102564,,12.82051282,,,,,,,12.82051282,,25.64102564,12.82051282,12.82051282,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",156,,9.900990099,19.8019802,19.8019802,9.900990099,19.8019802,,,,,9.900990099,9.900990099,,9.900990099,9.900990099,9.900990099,9.900990099,,19.8019802,
