CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6
114,2003,5,10,36047011400,11219,7,16278,2589,72,2047,318,10,8,12,12,0,0,-0.111111,0,-3,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2004,5,7,36047011400,11219,22,16088,2715,84,2087,384,7,20,15,14,-0.3,-0.533333,-0.211111,-0.177777,15,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2005,5,22,36047011400,11219,13,15897,2718,90,2100,393,22,12,13,14,2.142857,1.2,0.614285,0.222222,-9,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2006,5,13,36047011400,11219,10,15743,2618,70,2134,354,13,10,14,13,-0.40909,0.3,0.477922,0.322222,-3,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2007,5,10,36047011400,11219,14,15264,2492,62,2052,316,10,15,12,13,-0.230769,0.428571,0.500999,0.642857,4,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2008,5,14,36047011400,11219,13,15736,2512,65,2214,365,14,7,10,12,0.4,-0.363636,-0.079953,0.121645,-1,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2009,5,13,36047011400,11219,15,17856,2738,87,2730,424,13,15,12,11,-0.071428,0,0.0326,0.021645,2,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2010,5,15,36047011400,11219,0,19224,2915,105,2922,457,15,18,13,13,0.153846,0.5,0.160805,0.045454,-15,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
116,2001,0,60,36047011600,11219,49,16366,2705,304,2046,323,60,0,0,0,0,0,0,0,-11,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2002,0,49,36047011600,11219,51,16351,2614,325,2047,309,49,0,0,0,-0.183333,0,-0.091666,0,2,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2003,0,51,36047011600,11219,57,16278,2547,321,2047,315,51,0,0,0,0.040816,0,-0.047505,0,6,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2004,0,57,36047011600,11219,73,16088,2606,349,2087,337,57,0,0,0,0.117647,-0.05,-0.008289,-0.016666,16,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2005,0,73,36047011600,11219,80,15897,2615,360,2100,346,73,0,0,0,0.280701,0.489795,0.146388,0.146598,7,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2006,0,80,36047011600,11219,54,15743,2618,403,2134,367,80,0,0,0,0.09589,0.568627,0.164746,0.336141,-26,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2007,0,54,36047011600,11219,86,15264,2455,380,2052,298,54,0,0,0,-0.325,-0.052631,0.017197,0.335263,32,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2008,0,86,36047011600,11219,112,15736,2796,398,2214,399,86,0,0,0,0.592592,0.178082,0.121161,0.231359,26,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2009,0,112,36047011600,11219,105,17856,3070,559,2730,502,112,0,0,0,0.302325,0.4,0.189972,0.17515,-7,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2010,0,105,36047011600,11219,0,19224,3561,631,2922,484,105,0,0,0,-0.0625,0.944444,0.277472,0.507508,-105,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2001,1,61,36047011600,11219,70,16366,2936,304,2046,348,61,60,60,60,0,0,0,0,9,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2002,1,70,36047011600,11219,55,16351,2843,325,2047,348,70,49,54,54,0.147541,0,0.07377,0,-15,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2003,1,55,36047011600,11219,61,16278,2717,321,2047,335,55,51,53,53,-0.214285,0,-0.022248,0,6,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2004,1,61,36047011600,11219,63,16088,2667,349,2087,352,61,57,52,54,0.10909,0,0.014115,0,2,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2005,1,63,36047011600,11219,80,15897,2676,360,2100,353,63,73,60,58,0.032786,-0.1,-0.024135,-0.033333,17,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2006,1,80,36047011600,11219,79,15743,2708,403,2134,351,80,80,70,62,0.269841,0.454545,0.137239,0.118181,-1,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2007,1,79,36047011600,11219,54,15264,2640,380,2052,384,79,54,69,63,-0.0125,0.295082,0.096709,0.216542,-25,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2008,1,54,36047011600,11219,116,15736,2631,398,2214,318,54,86,73,70,-0.316455,-0.142857,-0.019704,0.202256,62,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2009,1,116,36047011600,11219,133,17856,3389,559,2730,499,116,112,84,81,1.148148,0.45,0.273064,0.200741,17,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2010,1,133,36047011600,11219,0,19224,3318,631,2922,569,133,105,101,87,0.146551,0.683544,0.326081,0.330229,-133,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2001,2,39,36047011600,11219,54,16366,2882,304,2046,380,39,61,61,61,0,0,0,0,15,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2002,2,54,36047011600,11219,60,16351,2882,325,2047,353,54,70,65,65,0.384615,0,0.192307,0,6,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2003,2,60,36047011600,11219,60,16278,2821,321,2047,336,60,55,62,62,0.111111,0,0.165242,0,0,0,0,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2004,2,60,36047011600,11219,53,16088,2640,349,2087,332,60,61,62,61,0,0.538461,0.165242,0.179487,-7,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2005,2,53,36047011600,11219,55,15897,2651,360,2100,349,53,63,59,62,-0.116666,-0.018518,-0.001851,0.173314,2,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2006,2,55,36047011600,11219,72,15743,2636,403,2134,362,55,80,68,65,0.037735,-0.083333,-0.02631,0.145536,17,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2007,2,72,36047011600,11219,73,15264,2651,380,2052,351,72,79,74,67,0.30909,0.2,0.07672,0.032716,1,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2008,2,73,36047011600,11219,96,15736,2629,398,2214,397,73,54,71,67,0.013888,0.377358,0.120238,0.164675,23,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2009,2,96,36047011600,11219,116,17856,2999,559,2730,426,96,116,83,78,0.315068,0.745454,0.212682,0.440937,20,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2010,2,116,36047011600,11219,0,19224,3501,631,2922,519,116,133,101,92,0.208333,0.611111,0.179096,0.577974,-116,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2001,3,55,36047011600,11219,46,16366,2698,304,2046,328,55,39,39,39,0,0,0,0,-9,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2002,3,46,36047011600,11219,54,16351,2862,325,2047,382,46,54,46,46,-0.163636,0,-0.081818,0,8,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2003,3,54,36047011600,11219,59,16278,2829,321,2047,354,54,60,51,51,0.173913,0,0.003425,0,5,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2004,3,59,36047011600,11219,59,16088,2716,349,2087,325,59,60,58,53,0.092592,0.072727,0.034289,0.024242,0,0,0,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2005,3,59,36047011600,11219,63,15897,2598,360,2100,333,59,53,57,53,0,0.282608,0.088835,0.118445,4,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2006,3,63,36047011600,11219,57,15743,2620,403,2134,365,63,55,56,56,0.067796,0.166666,0.053463,0.174,-6,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2007,3,57,36047011600,11219,76,15264,2524,380,2052,345,57,72,60,60,-0.095238,-0.033898,-0.009147,0.138459,19,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2008,3,76,36047011600,11219,84,15736,2639,398,2214,372,76,73,66,62,0.333333,0.288135,0.101963,0.140301,8,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2009,3,84,36047011600,11219,97,17856,2812,559,2730,447,84,96,80,69,0.105263,0.333333,0.114452,0.195856,13,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2010,3,97,36047011600,11219,0,19224,3049,631,2922,427,97,116,95,82,0.154761,0.701754,0.197786,0.441074,-97,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2001,4,51,36047011600,11219,54,16366,2528,304,2046,325,51,55,55,55,0,0,0,0,3,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2002,4,54,36047011600,11219,50,16351,2633,325,2047,323,54,46,50,50,0.058823,0,0.029411,0,-4,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2003,4,50,36047011600,11219,56,16278,2775,321,2047,389,50,54,51,51,-0.074074,0,-0.005083,0,6,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2004,4,56,36047011600,11219,54,16088,2744,349,2087,357,56,59,53,53,0.12,0.098039,0.034916,0.032679,-2,0,-1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
116,2005,4,54,36047011600,11219,63,15897,2639,360,2100,326,54,59,57,54,-0.035714,0,0.003403,0.032679,9,1,1,36047010600,NULL,36047010400,36047021600,36047010800,36047011400
