CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip,Y,NeighborCount,NeighborPreviousCount,NeighborPreviousThreeCount,NeighborOneYearPercentGrowth,NeighborOnYearGrowth,NeighborThreeYearPercentGrowth,NeighborThreeYearGrowth
30,2006,4,13,13,17,14,14,-0.235294,-4,-0.071429,-1,-0.071429,-1,36047003000,11220,1,198,193,238,0.025907,5,-0.168067,-40
30,2006,5,16,13,10,16,16,0.6,6,0,0,0,0,36047003000,11220,0,199,209,202,-0.047847,-10,-0.014851,-3
30,2007,0,15,15,16,17,17,-0.0625,-1,-0.117647,-2,-0.117647,-2,36047003000,11220,0,170,193,189,-0.119171,-23,-0.100529,-19
30,2007,1,17,15,4,15,15,3.25,13,0.133333,2,0.133333,2,36047003000,11220,0,196,205,191,-0.043902,-9,0.026178,5
30,2007,2,4,17,18,13,13,-0.777778,-14,-0.692308,-9,-0.692308,-9,36047003000,11220,1,198,203,201,-0.024631,-5,-0.014925,-3
30,2007,3,19,4,13,19,19,0.461538,6,0,0,0,0,36047003000,11220,0,202,180,193,0.122222,22,0.046632,9
30,2007,4,12,19,13,10,10,-0.076923,-1,0.2,2,0.2,2,36047003000,11220,0,175,198,216,-0.116162,-23,-0.189815,-41
30,2007,5,11,12,16,12,12,-0.3125,-5,-0.083333,-1,-0.083333,-1,36047003000,11220,1,184,199,217,-0.075377,-15,-0.152074,-33
30,2008,0,10,10,15,9,9,-0.333333,-5,0.111111,1,0.111111,1,36047003000,11220,1,171,170,188,0.005882,1,-0.090426,-17
30,2008,1,17,10,17,16,16,0,0,0.0625,1,0.0625,1,36047003000,11220,0,193,196,203,-0.015306,-3,-0.049261,-10
30,2008,2,17,17,4,16,16,3.25,13,0.0625,1,0.0625,1,36047003000,11220,0,184,198,186,-0.070707,-14,-0.010753,-2
30,2008,3,7,17,19,10,10,-0.631579,-12,-0.3,-3,-0.3,-3,36047003000,11220,1,184,202,198,-0.089109,-18,-0.070707,-14
30,2008,4,20,7,12,17,17,0.666667,8,0.176471,3,0.176471,3,36047003000,11220,0,199,175,193,0.137143,24,0.031088,6
30,2008,5,14,20,11,10,10,0.272727,3,0.4,4,0.4,4,36047003000,11220,0,177,184,209,-0.038043,-7,-0.15311,-32
30,2009,0,11,11,10,16,16,0.1,1,-0.3125,-5,-0.3125,-5,36047003000,11220,0,208,171,193,0.216374,37,0.07772,15
30,2009,1,11,11,17,4,4,-0.352941,-6,1.75,7,1.75,7,36047003000,11220,0,199,193,205,0.031088,6,-0.029268,-6
30,2009,2,17,11,17,18,18,0,0,-0.055556,-1,-0.055556,-1,36047003000,11220,0,198,184,203,0.076087,14,-0.024631,-5
30,2009,3,16,17,7,13,13,1.285714,9,0.230769,3,0.230769,3,36047003000,11220,0,184,184,180,0,0,0.022222,4
30,2009,4,7,16,20,13,13,-0.65,-13,-0.461538,-6,-0.461538,-6,36047003000,11220,0,178,199,198,-0.105528,-21,-0.10101,-20
30,2009,5,23,7,14,16,16,0.642857,9,0.4375,7,0.4375,7,36047003000,11220,0,203,177,199,0.146893,26,0.020101,4
30,2010,0,16,16,11,15,15,0.454545,5,0.066667,1,0.066667,1,36047003000,11220,0,219,208,170,0.052885,11,0.288235,49
30,2010,1,11,16,11,17,17,0,0,-0.352941,-6,-0.352941,-6,36047003000,11220,0,201,199,196,0.01005,2,0.02551,5
30,2010,2,13,11,17,4,4,-0.235294,-4,2.25,9,2.25,9,36047003000,11220,0,208,198,198,0.050505,10,0.050505,10
30,2010,3,16,13,16,19,19,0,0,-0.157895,-3,-0.157895,-3,36047003000,11220,0,195,184,202,0.059783,11,-0.034653,-7
30,2010,4,16,16,7,12,12,1.285714,9,0.333333,4,0.333333,4,36047003000,11220,0,183,178,175,0.02809,5,0.045714,8
30,2010,5,7,16,23,11,11,-0.695652,-16,-0.363636,-4,-0.363636,-4,36047003000,11220,0,183,203,184,-0.098522,-20,-0.005435,-1
