,FacilityID,ProgramType,FacilityStatus,FacilityOpenedDate,LicenseIssueDate,LicenseExpirationDate,SchoolDistrictName,SchoolAgeCapacity,TotalCapacity,Latitude,Longitude,Tract
35,243204,SACC,Registration ,11/4/2005 0:00,11/4/2015 0:00,11/3/2019 0:00,Brooklyn 20,280,280,40.610667,-74.013297,17000
36,244578,SACC,Registration ,12/1/2005 0:00,12/1/2015 0:00,11/30/2019 0:00,Brooklyn 20,100,100,40.638566,-73.971239,49000
37,249410,SACC,Registration ,4/4/2006 0:00,4/4/2016 0:00,4/3/2020 0:00,Brooklyn 20,170,170,40.63257,-74.009529,12000
38,249431,GFDC,License ,2/10/2006 0:00,2/10/2016 0:00,2/9/2020 0:00,Brooklyn 20,4,16,40.61845633,-73.99267102,26000
39,262689,GFDC,License ,4/23/2007 0:00,4/23/2015 0:00,4/22/2019 0:00,Brooklyn 20,2,14,40.608157,-73.990155,27200
40,267316,SACC,Registration ,5/23/2007 0:00,5/23/2015 0:00,5/22/2019 0:00,Brooklyn 20,180,180,40.612328,-73.986868,25800
41,272783,GFDC,License ,4/2/2007 0:00,4/2/2015 0:00,4/1/2019 0:00,Brooklyn 20,4,16,40.616776,-74.037178,5400
42,299760,SACC,Registration ,6/27/2007 0:00,6/27/2015 0:00,6/26/2019 0:00,Brooklyn 20,600,600,40.633078,-74.0037,21400
43,308019,GFDC,License ,11/8/2007 0:00,11/8/2015 0:00,11/7/2019 0:00,Brooklyn 20,4,16,40.609192,-74.010158,17200
44,309272,FDC,Registration ,10/23/2007 0:00,10/23/2015 0:00,10/22/2019 0:00,Brooklyn 20,1,7,40.633517,-73.980258,47800
45,318679,GFDC,License ,11/16/2007 0:00,11/16/2015 0:00,11/15/2019 0:00,Brooklyn 20,4,16,40.604637,-74.001565,28400
46,328440,GFDC,License ,2/5/2008 0:00,2/5/2016 0:00,2/4/2020 0:00,Brooklyn 20,4,16,40.632063,-73.983882,47600
47,339159,SACC,Registration ,6/11/2008 0:00,6/11/2016 0:00,6/10/2020 0:00,Brooklyn 20,186,186,40.624254,-74.018534,20600
48,341383,GFDC,License ,7/8/2008 0:00,7/8/2016 0:00,7/7/2020 0:00,Brooklyn 20,4,16,40.626254,-74.024625,13600
49,344271,FDC,Registration ,9/16/2008 0:00,9/16/2014 0:00,9/15/2018 0:00,Brooklyn 20,2,8,40.638833,-74.020928,7200
50,360491,GFDC,License ,12/18/2008 0:00,12/18/2014 0:00,12/17/2018 0:00,Brooklyn 20,2,14,40.642341,-74.022781,2200
51,368277,GFDC,License ,11/3/2008 0:00,11/3/2014 0:00,11/2/2018 0:00,Brooklyn 20,4,16,40.632569,-73.980794,47600
52,371762,GFDC,License ,2/24/2009 0:00,2/24/2015 0:00,2/23/2019 0:00,Brooklyn 20,4,16,40.60751,-74.006231,18000
53,375497,SACC,Registration ,1/12/2009 0:00,1/12/2015 0:00,1/11/2019 0:00,Brooklyn 20,177,177,40.614058,-74.006553,18400
54,377810,GFDC,License ,3/13/2009 0:00,3/13/2015 0:00,3/12/2019 0:00,Brooklyn 20,4,16,40.616776,-74.037178,5400
55,401074,GFDC,License ,8/18/2009 0:00,8/18/2015 0:00,8/17/2019 0:00,Brooklyn 20,4,16,40.61339,-74.03178,16200
56,404589,SACC,Registration ,5/19/2009 0:00,5/19/2015 0:00,5/18/2019 0:00,Brooklyn 20,104,104,40.612238,-74.0008,27600
57,409150,GFDC,License ,10/15/2009 0:00,10/15/2015 0:00,10/14/2019 0:00,Brooklyn 20,4,16,40.643142,-74.01735,7400
