CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip
30,2004,2,13,15,17,15,15,-0.235294,-4,-0.133333,-2,-0.133333,-2,36047003000,11220
30,2004,3,19,13,12,21,21,0.583333,7,-0.095238,-2,-0.095238,-2,36047003000,11220
30,2004,4,10,19,14,17,17,-0.285714,-4,-0.411765,-7,-0.411765,-7,36047003000,11220
30,2004,5,12,10,16,16,16,-0.25,-4,-0.25,-4,-0.25,-4,36047003000,11220
30,2005,0,9,9,17,13,13,-0.470588,-8,-0.307692,-4,-0.307692,-4,36047003000,11220
30,2005,1,16,9,15,16,16,0.066667,1,0,0,0,0,36047003000,11220
30,2005,2,16,16,13,12,12,0.230769,3,0.333333,4,0.333333,4,36047003000,11220
30,2005,3,10,16,19,15,15,-0.473684,-9,-0.333333,-5,-0.333333,-5,36047003000,11220
30,2005,4,17,10,10,18,18,0.7,7,-0.055556,-1,-0.055556,-1,36047003000,11220
30,2005,5,10,17,12,14,14,-0.166667,-2,-0.285714,-4,-0.285714,-4,36047003000,11220
30,2006,0,16,16,9,12,12,0.777778,7,0.333333,4,0.333333,4,36047003000,11220
30,2006,1,4,16,16,12,12,-0.75,-12,-0.666667,-8,-0.666667,-8,36047003000,11220
30,2006,2,18,4,16,17,17,0.125,2,0.058824,1,0.058824,1,36047003000,11220
30,2006,3,13,18,10,12,12,0.3,3,0.083333,1,0.083333,1,36047003000,11220
30,2006,4,13,13,17,14,14,-0.235294,-4,-0.071429,-1,-0.071429,-1,36047003000,11220
30,2006,5,16,13,10,16,16,0.6,6,0,0,0,0,36047003000,11220
30,2007,0,15,15,16,17,17,-0.0625,-1,-0.117647,-2,-0.117647,-2,36047003000,11220
30,2007,1,17,15,4,15,15,3.25,13,0.133333,2,0.133333,2,36047003000,11220
