Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
2,2,0,0,2009,1017280.786,203163.3867,ELIOT AVENUE,78 STREET
1,0,1,0,2016,1055923.178,218350.1437,NORTHERN BOULEVARD,245 STREET
1,1,0,0,2016,1041463.713,154729.4983,ROCKAWAY BEACH BOULEVARD,SALTAIRE LANE
1,0,0,1,2013,1024447.648,191187.7384,89 STREET,88 AVENUE
1,0,0,1,2012,1015069.793,258155.3515,EAST 204 STREET,JEROME AVENUE
1,1,0,0,2011,1024691.693,269012.2389,BRONX BOULEVARD,EAST 241 STREET
1,1,0,0,2013,957983.1966,157977.1464,HOLLY STREET,SPARKILL AVENUE
1,0,0,1,2015,1049831.429,156462.7596,BEACH 31 STREET,SEAGIRT BOULEVARD
1,0,0,1,2015,1049836.212,156428.6094,BEACH 31 STREET,SEAGIRT BOULEVARD
1,0,0,1,2015,1049826.084,156498.7471,BEACH 31 STREET,SEAGIRT BOULEVARD
1,0,0,1,2013,1058603.264,177270.5028,149 AVENUE,257 STREET
1,0,0,1,2011,1015897.8,204699.8239,LONG ISLAND EXPRESSWAY,LONG ISLAND EXPWY ET 19 WB
1,0,1,0,2012,1004398.746,208278.8135,50 AVENUE,39 STREET
1,1,0,0,2013,1005518.458,207057.1942,LONG ISLAND EXPRESSWAY,BQE WB EN LAUREL HILL BLVD WB
1,1,0,0,2013,1005547.893,207195.0187,LONG ISLAND EXPRESSWAY,BQE WB EN LAUREL HILL BLVD WB
1,1,0,0,2013,1005512.253,207033.3068,LONG ISLAND EXPRESSWAY,BQE WB EN LAUREL HILL BLVD WB
1,1,0,0,2013,1005524.373,207079.9074,LONG ISLAND EXPRESSWAY,BQE WB EN LAUREL HILL BLVD WB
1,1,0,0,2010,1046119.51,215359.4345,206 STREET,CLEARVIEW EXPRESSWAY ET 5 NB
1,1,0,0,2013,1058668.937,210910.9496,GRAND CENTRAL PARKWAY ET 23 WB,GRAND CENTRAL PARKWAY
2,0,0,2,2012,939488.1095,135113.0458,RETFORD AVENUE,KOCH BOULEVARD
1,1,0,0,2015,1006301.927,253558.2351,WEST 204 STREET,10 AVENUE
1,1,0,0,2009,1048691.04,157020.1798,NORTON AVENUE,BEACH 35 STREET
1,1,0,0,2013,1007794.992,234693.9171,ST ANNS AVENUE,BETANCES I HOUSES PED PATH
1,1,0,0,2010,984868.6274,185102.9343,WEST 9 STREET,SMITH STREET
1,1,0,0,2013,1022215.622,235385.7327,ST LAWRENCE AVENUE,PATTERSON AVENUE
1,1,0,0,2012,1016008.958,214567.2415,NORTHERN BOULEVARD,82 STREET
1,0,0,1,2016,1001129.198,206704.17,RAILROAD AVENUE,GREENPOINT AVENUE
1,0,0,1,2016,1001173.947,206611.7768,RAILROAD AVENUE,GREENPOINT AVENUE
1,0,0,1,2014,990886.4431,215157.6665,EAST 49 STREET,MADISON AVENUE
1,0,0,1,2009,1033317.804,243787.0115,FAIRMOUNT AVENUE,ELLSWORTH AVENUE
1,1,0,0,2009,1056461.618,202254.9633,218 STREET,93 AVENUE
1,0,1,0,2011,989903.0825,163543.8049,BAY PARKWAY,62 STREET
1,1,0,0,2013,1016779.327,247148.7597,EAST 180 STREET,HONEYWELL AVENUE
2,0,0,2,2009,960778.0036,168716.5471,SUNRISE TERRACE,OCCIDENT AVENUE
